x0000,y0000
1289,2089,
1290,2098,
1291,2088,
1292,2054,
1293,2090,
1294,2073,
1295,2054,
1296,2061,
1297,2078,
1298,2088,
1299,2050,
1300,2045,
1301,2066,
1302,2066,
1303,2063,
1304,2050,
1305,2034,
1306,2060,
1307,2075,
1308,2050,
1309,2067,
1310,2039,
1311,2056,
1312,2035,
1313,2033,
1314,2057,
1315,2051,
1316,2035,
1317,2048,
1318,2047,
1319,2048,
1320,2045,
1321,1971,
1322,2013,
1323,2034,
1324,2001,
1325,1986,
1326,2000,
1327,2009,
1328,2027,
1329,2041,
1330,1999,
1331,1987,
1332,2002,
1333,1971,
1334,2004,
1335,1991,
1336,1989,
1337,1989,
1338,1948,
1339,1985,
1340,1974,
1341,1994,
1342,1954,
1343,1960,
1344,1966,
1345,1948,
1346,1965,
1347,1966,
1348,1948,
1349,1947,
1350,1946,
1351,1925,
1352,1947,
1353,1943,
1354,1927,
1355,1911,
1356,1928,
1357,1914,
1358,1923,
1359,1919,
1360,1919,
1361,1919,
1362,1897,
1363,1907,
1364,1900,
1365,1912,
1366,1903,
1367,1875,
1368,1877,
1369,1894,
1370,1875,
1371,1883,
1372,1867,
1373,1866,
1374,1882,
1375,1870,
1376,1857,
1377,1846,
1378,1841,
1379,1835,
1380,1854,
1381,1857,
1382,1833,
1383,1840,
1384,1835,
1385,1817,
1386,1831,
1387,1821,
1388,1826,
1389,1786,
1390,1828,
1391,1800,
1392,1816,
1393,1773,
1394,1794,
1395,1787,
1396,1770,
1397,1781,
1398,1782,
1399,1761,
1400,1758,
1401,1775,
1402,1746,
1403,1755,
1404,1752,
1405,1765,
1406,1749,
1407,1742,
1408,1733,
1409,1737,
1410,1713,
1411,1720,
1412,1706,
1413,1701,
1414,1709,
1415,1713,
1416,1696,
1417,1628,
1418,1714,
1419,1685,
1420,1674,
1421,1676,
1422,1694,
1423,1694,
1424,1667,
1425,1671,
1426,1684,
1427,1665,
1428,1671,
1429,1670,
1430,1650,
1431,1658,
1432,1650,
1433,1658,
1434,1620,
1435,1649,
1436,1619,
1437,1645,
1438,1613,
1439,1619,
1440,1646,
1441,1618,
1442,1624,
1443,1612,
1444,1600,
1445,1614,
1446,1605,
1447,1597,
1448,1568,
1449,1571,
1450,1596,
1451,1589,
1452,1592,
1453,1579,
1454,1574,
1455,1572,
1456,1562,
1457,1569,
1458,1561,
1459,1543,
1460,1573,
1461,1554,
1462,1542,
1463,1546,
1464,1543,
1465,1548,
1466,1529,
1467,1539,
1468,1534,
1469,1542,
1470,1540,
1471,1543,
1472,1517,
1473,1511,
1474,1545,
1475,1499,
1476,1507,
1477,1512,
1478,1483,
1479,1507,
1480,1509,
1481,1495,
1482,1493,
1483,1509,
1484,1486,
1485,1483,
1486,1460,
1487,1508,
1488,1465,
1489,1482,
1490,1473,
1491,1469,
1492,1463,
1493,1480,
1494,1431,
1495,1441,
1496,1455,
1497,1444,
1498,1463,
1499,1452,
1500,1443,
1501,1446,
1502,1449,
1503,1444,
1504,1415,
1505,1420,
1506,1420,
1507,1427,
1508,1407,
1509,1406,
1510,1413,
1511,1402,
1512,1419,
1513,1386,
1514,1395,
1515,1405,
1516,1398,
1517,1394,
1518,1393,
1519,1375,
1520,1379,
1521,1381,
1522,1365,
1523,1383,
1524,1365,
1525,1358,
1526,1381,
1527,1349,
1528,1352,
1529,1355,
