x0000,y0000
1093,1319,
1094,1304,
1095,1299,
1096,1302,
1097,1280,
1098,1266,
1099,1243,
1100,1248,
1101,1258,
1102,1279,
1103,1260,
1104,1250,
1105,1240,
1106,1247,
1107,1228,
1108,1220,
1109,1216,
1110,1196,
1111,1223,
1112,1213,
1113,1203,
1114,1221,
1115,1206,
1116,1187,
1117,1206,
1118,1192,
1119,1167,
1120,1187,
1121,1163,
1122,1178,
1123,1154,
1124,1172,
1125,1180,
1126,1149,
1127,1154,
1128,1153,
1129,1124,
1130,1138,
1131,1126,
1132,1120,
1133,1113,
1134,1115,
1135,1091,
1136,1109,
1137,1099,
1138,1109,
1139,1085,
1140,1086,
1141,1106,
1142,1094,
1143,1076,
1144,1089,
1145,1059,
1146,1065,
1147,1079,
1148,1057,
1149,1048,
1150,1052,
1151,1052,
1152,1048,
1153,1055,
1154,1021,
1155,1027,
1156,1045,
1157,1044,
1158,1042,
1159,1000,
1160,1019,
1161,995,
1162,988,
1163,1011,
1164,998,
1165,982,
1166,973,
1167,977,
1168,957,
1169,968,
1170,977,
1171,943,
1172,943,
1173,950,
1174,954,
1175,940,
1176,910,
1177,925,
1178,919,
1179,910,
1180,911,
1181,920,
1182,900,
1183,902,
1184,886,
1185,899,
1186,890,
1187,888,
1188,873,
1189,860,
1190,850,
1191,860,
1192,827,
1193,853,
1194,830,
1195,834,
1196,811,
1197,817,
1198,795,
1199,818,
1200,815,
1201,789,
1202,801,
1203,780,
1204,766,
1205,774,
1206,768,
1207,762,
1208,757,
1209,745,
1210,736,
1211,730,
1212,728,
1213,726,
1214,715,
1215,698,
1216,721,
1217,715,
1218,691,
1219,699,
1220,681,
1221,673,
1222,664,
1223,673,
1224,661,
1225,668,
1226,641,
1227,645,
1228,626,
1229,645,
1230,627,
1231,639,
1232,631,
1233,616,
1234,604,
1235,603,
1236,612,
1237,615,
1238,594,
1239,584,
1240,577,
1241,590,
1242,595,
1243,569,
1244,568,
1245,571,
1246,577,
1247,560,
1248,564,
1249,554,
1250,552,
1251,547,
1252,554,
1253,528,
1254,537,
1255,530,
1256,506,
1257,519,
1258,516,
1259,512,
1260,507,
1261,521,
1262,505,
1263,499,
1264,509,
1265,484,
1266,495,
1267,492,
1268,472,
1269,479,
1270,473,
1271,473,
1272,458,
1273,465,
1274,463,
1275,462,
1276,452,
1277,453,
1278,459,
1279,446,
1280,459,
1281,434,
1282,437,
1283,431,
1284,440,
1285,418,
1286,428,
1287,416,
1288,415,
1289,402,
1290,405,
1291,410,
1292,390,
1293,398,
1294,399,
1295,399,
1296,376,
1297,383,
1298,384,
1299,361,
1300,374,
1301,381,
1302,366,
1303,366,
1304,369,
1305,354,
1306,362,
1307,349,
1308,349,
1309,353,
1310,339,
1311,345,
1312,334,
1313,343,
1314,334,
1315,326,
1316,315,
1317,328,
1318,327,
1319,332,
1320,319,
1321,310,
1322,319,
1323,312,
1324,307,
1325,301,
1326,298,
1327,289,
1328,294,
1329,279,
1330,288,
1331,288,
1332,276,
1333,280,
1334,275,
1335,268,
1336,269,
1337,266,
1338,255,
1339,274,
1340,254,
1341,264,
1342,246,
1343,252,
1344,252,
1345,244,
1346,255,
1347,235,
1348,234,
1349,244,
1350,231,
1351,230,
1352,234,
1353,229,
1354,224,
1355,218,
1356,218,
1357,213,
1358,214,
1359,207,
1360,207,
1361,202,
1362,203,
1363,199,
1364,201,
1365,200,
1366,198,
1367,188,
1368,189,
1369,179,
1370,183,
1371,184,
1372,176,
1373,174,
1374,181,
1375,191,
1376,180,
1377,174,
1378,176,
1379,158,
1380,169,
1381,170,
1382,150,
1383,164,
1384,156,
1385,153,
1386,157,
1387,153,
1388,138,
1389,149,
1390,150,
1391,137,
1392,143,
1393,140,
1394,134,
1395,136,
1396,138,
1397,137,
1398,134,
1399,129,
1400,133,
1401,137,
1402,131,
1403,132,
1404,112,
1405,129,
1406,122,
1407,123,
1408,119,
1409,127,
1410,109,
1411,116,
1412,109,
1413,108,
1414,104,
1415,112,
1416,101,
1417,62,
1418,93,
1419,103,
1420,101,
1421,97,
1422,95,
1423,103,
1424,97,
1425,87,
1426,96,
1427,94,
1428,78,
1429,91,
1430,87,
1431,84,
1432,84,
1433,89,
1434,72,
1435,77,
1436,89,
1437,82,
1438,75,
1439,74,
1440,83,
1441,81,
1442,86,
1443,67,
1444,69,
1445,71,
1446,68,
1447,69,
1448,66,
1449,71,
1450,72,
1451,63,
1452,77,
1453,73,
1454,64,
1455,70,
1456,71,
1457,55,
1458,62,
1459,56,
1460,57,
1461,54,
1462,56,
1463,57,
1464,57,
1465,56,
1466,52,
1467,50,
1468,58,
1469,49,
1470,48,
1471,55,
1472,47,
1473,47,
1474,57,
1475,42,
1476,44,
1477,43,
1478,37,
1479,38,
1480,44,
1481,50,
1482,40,
1483,42,
1484,40,
1485,37,
1486,36,
1487,48,
1488,30,
1489,39,
1490,37,
1491,31,
1492,46,
1493,39,
1494,26,
1495,29,
1496,34,
1497,29,
1498,29,
1499,34,
1500,28,
1501,28,
1502,25,
1503,28,
1504,21,
1505,22,
1506,15,
1507,20,
1508,10,
1509,25,
1510,33,
1511,26,
1512,33,
1513,19,
1514,19,
1515,18,
1516,21,
1517,29,
1518,23,
1519,10,
1520,19,
1521,31,
1522,23,
1523,23,
1524,21,
1525,19,
1526,19,
1527,12,
1528,23,
1529,17,
1530,12,
1531,11,
1532,16,
1533,14,
1534,9,
1535,15,
1536,12,
1537,18,
1538,17,
1539,13,
1540,9,
1541,11,
1542,11,
1543,15,
1544,21,
1545,13,
1546,10,
1547,11,
1548,3,
1549,9,
1550,8,
1551,8,
1552,3,
1553,9,
1554,9,
1555,7,
1556,-1,
1557,-4,
1558,7,
1559,2,
1560,0,
1561,8,
1562,4,
1563,-7,
1564,-2,
1565,-1,
1566,7,
1567,-1,
1568,-6,
1569,2,
1570,-3,
1571,-5,
1572,1,
1573,9,
1574,-1,
1575,4,
1576,-8,
1577,-1,
1578,0,
1579,5,
1580,6,
1581,1,
1582,-5,
1583,-4,
1584,-3,
1585,-1,
1586,-10,
1587,-9,
1588,1,
1589,-3,
1590,-3,
1591,-1,
1592,-6,
1593,-3,
1594,-7,
1595,-18,
1596,-4,
1597,-9,
1598,-6,
1599,-9,
1600,-1,
1601,-8,
1602,-7,
1603,-5,
1604,0,
1605,-10,
1606,7,
1607,-7,
1608,-10,
1609,-3,
1610,-9,
1611,-10,
1612,-5,
1613,-4,
1614,-3,
1615,-6,
1616,-5,
1617,-2,
1618,-7,
1619,1,
1620,-8,
1621,-8,
1622,-9,
1623,1,
1624,-2,
1625,-4,
1626,-5,
1627,-9,
1628,3,
1629,-8,
1630,-15,
1631,-7,
1632,-6,
1633,-11,
1634,-7,
1635,-5,
1636,-14,
1637,-9,
1638,-7,
1639,-9,
1640,-10,
1641,2,
1642,-6,
