x0000,y0000
1217,589,
1218,587,
1219,592,
1220,575,
1221,577,
1222,582,
1223,585,
1224,591,
1225,584,
1226,568,
1227,571,
1228,563,
1229,563,
1230,569,
1231,559,
1232,559,
1233,546,
1234,541,
1235,544,
1236,547,
1237,524,
1238,534,
1239,517,
1240,520,
1241,525,
1242,527,
1243,518,
1244,508,
1245,509,
1246,515,
1247,504,
1248,502,
1249,508,
1250,507,
1251,511,
1252,491,
1253,501,
1254,492,
1255,486,
1256,478,
1257,487,
1258,468,
1259,487,
1260,470,
1261,473,
1262,471,
1263,471,
1264,474,
1265,470,
1266,448,
1267,451,
1268,449,
1269,456,
1270,449,
1271,446,
1272,431,
1273,432,
1274,432,
1275,437,
1276,438,
1277,427,
1278,420,
1279,414,
1280,421,
1281,425,
1282,417,
1283,406,
1284,413,
1285,405,
1286,389,
1287,398,
1288,403,
1289,399,
1290,394,
1291,372,
1292,384,
1293,390,
1294,377,
1295,370,
1296,376,
1297,369,
1298,364,
1299,360,
1300,354,
1301,371,
1302,356,
1303,371,
1304,357,
1305,350,
1306,356,
1307,345,
1308,349,
1309,350,
1310,331,
1311,335,
1312,333,
1313,336,
1314,339,
1315,336,
1316,315,
1317,322,
1318,335,
1319,331,
1320,318,
1321,313,
1322,316,
1323,311,
1324,309,
1325,318,
1326,307,
1327,296,
1328,303,
1329,298,
1330,293,
1331,292,
1332,282,
1333,284,
1334,292,
1335,280,
1336,282,
1337,268,
1338,269,
1339,284,
1340,276,
1341,276,
1342,262,
1343,258,
1344,262,
1345,264,
1346,257,
1347,251,
1348,248,
1349,256,
1350,251,
1351,252,
1352,248,
1353,251,
1354,248,
1355,240,
1356,246,
1357,242,
1358,237,
1359,226,
1360,234,
1361,230,
1362,214,
1363,228,
1364,223,
1365,224,
1366,223,
1367,219,
1368,211,
1369,212,
1370,214,
1371,202,
1372,214,
1373,201,
1374,204,
1375,206,
1376,205,
1377,198,
1378,213,
1379,200,
1380,201,
1381,200,
1382,188,
1383,190,
1384,193,
1385,199,
1386,194,
1387,187,
1388,185,
1389,184,
1390,180,
1391,184,
1392,182,
1393,172,
1394,171,
1395,164,
1396,170,
1397,171,
1398,175,
1399,166,
1400,175,
1401,172,
1402,164,
1403,168,
1404,156,
1405,167,
1406,166,
1407,165,
1408,154,
1409,162,
1410,147,
1411,155,
1412,151,
1413,148,
1414,144,
1415,152,
1416,140,
1417,99,
1418,138,
1419,140,
1420,146,
1421,138,
1422,146,
1423,140,
1424,138,
1425,129,
1426,136,
1427,139,
1428,126,
1429,135,
1430,127,
1431,136,
1432,128,
1433,141,
1434,122,
1435,133,
1436,127,
1437,118,
1438,118,
1439,120,
1440,120,
1441,119,
1442,125,
1443,118,
1444,120,
1445,118,
1446,110,
1447,115,
1448,103,
1449,109,
1450,107,
1451,108,
1452,114,
1453,111,
1454,110,
1455,110,
1456,110,
1457,98,
1458,107,
1459,95,
1460,106,
1461,102,
1462,92,
1463,102,
1464,102,
